game,correct_unchanged,total_unchanged_states,correct_changed,total_changed_states
lit-lightbulb,0,0,0,0
volume-container,0,0,0,0
balance-scale-weigh,0,0,0,0
blood-type,0,0,0,0
plant-tree,0,0,0,0
scale-weigh,0,0,0,0
boil-water,0,0,0,0
conductivity,0,0,0,0
wash-clothes,0,0,0,0
cooking,0,0,0,0
use-bandage,0,0,0,0
forge-key,0,0,0,0
bath-tub-water-temperature,0,0,0,0
space-walk,0,0,0,0
hang-painting,0,0,0,0
clean-energy,0,0,0,0
take-photo,0,0,0,0
multimeter,0,0,0,0
sunburn,0,0,0,0
metal-detector,0,0,0,0
volume,0,0,0,0
make-campfire,0,0,0,0
inclined-plane,0,0,0,0
bird-life-cycle,0,0,0,0
sweep-floor,0,0,0,0
thermometer,0,0,0,0
refrigerate-food,0,0,0,0
balance-scale-heaviest,0,0,0,0
volume-stone,0,0,0,0
make-ice-cubes,0,0,0,0
mix-paint,0,0,0,0
