game,correct_unchanged,total_unchanged_states,correct_changed,total_changed_states
lit-lightbulb,0,36,0,20
volume-container,0,56,0,42
balance-scale-weigh,0,40,0,30
blood-type,0,34,0,10
plant-tree,0,65,0,55
scale-weigh,0,38,0,21
boil-water,0,84,0,42
conductivity,0,48,0,22
wash-clothes,0,91,0,69
cooking,0,99,0,51
use-bandage,0,61,0,18
forge-key,0,104,0,13
bath-tub-water-temperature,0,40,0,35
space-walk,0,68,0,17
hang-painting,0,50,0,23
clean-energy,0,14,0,10
take-photo,0,111,0,43
multimeter,0,46,0,38
sunburn,0,54,0,21
metal-detector,0,68,0,22
volume,0,50,0,20
make-campfire,0,99,0,25
inclined-plane,0,12,0,128
bird-life-cycle,0,0,0,68
sweep-floor,0,78,0,40
thermometer,0,53,0,23
refrigerate-food,0,0,0,132
balance-scale-heaviest,0,40,0,20
volume-stone,0,67,0,51
make-ice-cubes,0,59,0,79
mix-paint,0,79,0,22
