game,state_id,format,action,uuid,name,type,obj_stat,gold_stat,prop_key,prop,is_modified,gold_prop
lit-lightbulb,40,1,put,1,room (ID: 1),World,3,0,isContainer,1,0,0
lit-lightbulb,40,1,put,1,room (ID: 1),World,3,0,isMoveable,1,0,0
lit-lightbulb,40,1,put,1,room (ID: 1),World,3,0,isOpenable,1,0,0
lit-lightbulb,40,1,put,1,room (ID: 1),World,3,0,isOpen,1,0,0
lit-lightbulb,40,1,put,1,room (ID: 1),World,3,0,containerPrefix,1,0,0
lit-lightbulb,40,1,put,1,room (ID: 1),World,3,0,contains,1,0,0
lit-lightbulb,40,1,put,0,agent (ID: 0),Agent,3,0,isContainer,1,0,0
lit-lightbulb,40,1,put,0,agent (ID: 0),Agent,3,0,isMoveable,1,0,0
lit-lightbulb,40,1,put,0,agent (ID: 0),Agent,3,0,isOpenable,1,0,0
lit-lightbulb,40,1,put,0,agent (ID: 0),Agent,3,0,isOpen,1,0,0
lit-lightbulb,40,1,put,0,agent (ID: 0),Agent,3,0,containerPrefix,1,0,0
lit-lightbulb,40,1,put,0,agent (ID: 0),Agent,3,0,contains,1,0,0
lit-lightbulb,40,1,put,2,light bulb (ID: 2),LightBulb,3,0,isContainer,1,0,0
lit-lightbulb,40,1,put,2,light bulb (ID: 2),LightBulb,3,0,isMoveable,1,0,0
lit-lightbulb,40,1,put,2,light bulb (ID: 2),LightBulb,3,0,is_electrical_object,1,0,0
lit-lightbulb,40,1,put,2,light bulb (ID: 2),LightBulb,3,0,conductive,1,0,0
lit-lightbulb,40,1,put,2,light bulb (ID: 2),LightBulb,3,0,connects,1,0,0
lit-lightbulb,40,1,put,2,light bulb (ID: 2),LightBulb,3,0,on,1,0,0
lit-lightbulb,40,1,put,2,light bulb (ID: 2),LightBulb,3,0,contains,1,0,0
lit-lightbulb,40,1,put,3,red wire (ID: 3),Wire,3,0,isContainer,1,0,0
lit-lightbulb,40,1,put,3,red wire (ID: 3),Wire,3,0,isMoveable,1,0,0
lit-lightbulb,40,1,put,3,red wire (ID: 3),Wire,3,0,is_electrical_object,1,0,0
lit-lightbulb,40,1,put,3,red wire (ID: 3),Wire,3,0,conductive,1,0,0
lit-lightbulb,40,1,put,3,red wire (ID: 3),Wire,3,0,connects,1,0,0
lit-lightbulb,40,1,put,3,red wire (ID: 3),Wire,3,0,is_wire,1,0,0
lit-lightbulb,40,1,put,3,red wire (ID: 3),Wire,3,0,contains,1,0,0
lit-lightbulb,40,1,put,4,black wire (ID: 4),Wire,3,0,isContainer,1,0,0
lit-lightbulb,40,1,put,4,black wire (ID: 4),Wire,3,0,isMoveable,1,0,0
lit-lightbulb,40,1,put,4,black wire (ID: 4),Wire,3,0,is_electrical_object,1,0,0
lit-lightbulb,40,1,put,4,black wire (ID: 4),Wire,3,0,conductive,1,0,0
lit-lightbulb,40,1,put,4,black wire (ID: 4),Wire,3,0,connects,1,0,0
lit-lightbulb,40,1,put,4,black wire (ID: 4),Wire,3,0,is_wire,1,0,0
lit-lightbulb,40,1,put,4,black wire (ID: 4),Wire,3,0,contains,1,0,0
lit-lightbulb,40,1,put,5,blue wire (ID: 5),Wire,3,0,isContainer,1,0,0
lit-lightbulb,40,1,put,5,blue wire (ID: 5),Wire,3,0,isMoveable,1,0,0
lit-lightbulb,40,1,put,5,blue wire (ID: 5),Wire,3,0,is_electrical_object,1,0,0
lit-lightbulb,40,1,put,5,blue wire (ID: 5),Wire,3,0,conductive,1,0,0
lit-lightbulb,40,1,put,5,blue wire (ID: 5),Wire,3,0,connects,1,0,0
lit-lightbulb,40,1,put,5,blue wire (ID: 5),Wire,3,0,is_wire,1,0,0
lit-lightbulb,40,1,put,5,blue wire (ID: 5),Wire,3,0,contains,1,0,0
lit-lightbulb,40,1,put,6,battery (ID: 6),Battery,3,0,isContainer,1,0,0
lit-lightbulb,40,1,put,6,battery (ID: 6),Battery,3,0,isMoveable,1,0,0
lit-lightbulb,40,1,put,6,battery (ID: 6),Battery,3,0,is_electrical_object,1,0,0
lit-lightbulb,40,1,put,6,battery (ID: 6),Battery,3,0,conductive,1,0,0
lit-lightbulb,40,1,put,6,battery (ID: 6),Battery,3,0,connects,1,0,0
lit-lightbulb,40,1,put,6,battery (ID: 6),Battery,3,0,contains,1,0,0
lit-lightbulb,249,1,inventory,1,room (ID: 1),World,3,0,isContainer,1,0,0
lit-lightbulb,249,1,inventory,1,room (ID: 1),World,3,0,isMoveable,1,0,0
lit-lightbulb,249,1,inventory,1,room (ID: 1),World,3,0,isOpenable,1,0,0
lit-lightbulb,249,1,inventory,1,room (ID: 1),World,3,0,isOpen,1,0,0
lit-lightbulb,249,1,inventory,1,room (ID: 1),World,3,0,containerPrefix,1,0,0
lit-lightbulb,249,1,inventory,1,room (ID: 1),World,3,0,contains,1,0,0
lit-lightbulb,249,1,inventory,0,agent (ID: 0),Agent,3,0,isContainer,1,0,0
lit-lightbulb,249,1,inventory,0,agent (ID: 0),Agent,3,0,isMoveable,1,0,0
lit-lightbulb,249,1,inventory,0,agent (ID: 0),Agent,3,0,isOpenable,1,0,0
lit-lightbulb,249,1,inventory,0,agent (ID: 0),Agent,3,0,isOpen,1,0,0
lit-lightbulb,249,1,inventory,0,agent (ID: 0),Agent,3,0,containerPrefix,1,0,0
lit-lightbulb,249,1,inventory,0,agent (ID: 0),Agent,3,0,contains,1,0,0
lit-lightbulb,249,1,inventory,2,light bulb (ID: 2),LightBulb,3,0,isContainer,1,0,0
lit-lightbulb,249,1,inventory,2,light bulb (ID: 2),LightBulb,3,0,isMoveable,1,0,0
lit-lightbulb,249,1,inventory,2,light bulb (ID: 2),LightBulb,3,0,is_electrical_object,1,0,0
lit-lightbulb,249,1,inventory,2,light bulb (ID: 2),LightBulb,3,0,conductive,1,0,0
lit-lightbulb,249,1,inventory,2,light bulb (ID: 2),LightBulb,3,0,connects,1,0,0
lit-lightbulb,249,1,inventory,2,light bulb (ID: 2),LightBulb,3,0,on,1,0,0
lit-lightbulb,249,1,inventory,2,light bulb (ID: 2),LightBulb,3,0,contains,1,0,0
lit-lightbulb,249,1,inventory,3,red wire (ID: 3),Wire,3,0,isContainer,1,0,0
lit-lightbulb,249,1,inventory,3,red wire (ID: 3),Wire,3,0,isMoveable,1,0,0
lit-lightbulb,249,1,inventory,3,red wire (ID: 3),Wire,3,0,is_electrical_object,1,0,0
lit-lightbulb,249,1,inventory,3,red wire (ID: 3),Wire,3,0,conductive,1,0,0
lit-lightbulb,249,1,inventory,3,red wire (ID: 3),Wire,3,0,connects,1,0,0
lit-lightbulb,249,1,inventory,3,red wire (ID: 3),Wire,3,0,is_wire,1,0,0
lit-lightbulb,249,1,inventory,3,red wire (ID: 3),Wire,3,0,contains,1,0,0
lit-lightbulb,249,1,inventory,4,black wire (ID: 4),Wire,3,0,isContainer,1,0,0
lit-lightbulb,249,1,inventory,4,black wire (ID: 4),Wire,3,0,isMoveable,1,0,0
lit-lightbulb,249,1,inventory,4,black wire (ID: 4),Wire,3,0,is_electrical_object,1,0,0
lit-lightbulb,249,1,inventory,4,black wire (ID: 4),Wire,3,0,conductive,1,0,0
lit-lightbulb,249,1,inventory,4,black wire (ID: 4),Wire,3,0,connects,1,0,0
lit-lightbulb,249,1,inventory,4,black wire (ID: 4),Wire,3,0,is_wire,1,0,0
lit-lightbulb,249,1,inventory,4,black wire (ID: 4),Wire,3,0,contains,1,0,0
lit-lightbulb,249,1,inventory,5,blue wire (ID: 5),Wire,3,0,isContainer,1,0,0
lit-lightbulb,249,1,inventory,5,blue wire (ID: 5),Wire,3,0,isMoveable,1,0,0
lit-lightbulb,249,1,inventory,5,blue wire (ID: 5),Wire,3,0,is_electrical_object,1,0,0
lit-lightbulb,249,1,inventory,5,blue wire (ID: 5),Wire,3,0,conductive,1,0,0
lit-lightbulb,249,1,inventory,5,blue wire (ID: 5),Wire,3,0,connects,1,0,0
